id,terrain,water,food,resources,settle_score,why,q,r,elev_m,slope,precip,temp_c,soil,vegetation,rock,endorheic,glacial_scar,wt_class,wind,rain_shadow,season_label,climate_resource_tags
H+26+00,boreal,none,modest,timber|metals|gems,farmstead,"adequate food, route access",26,0,388.66,5.548,782.4,3.16,glacial till,boreal forest,Suture metamorphic,False,moraine,shallow_well,open_westerly,False,moderate,timber
H+27+00,boreal,none,modest,timber|stone|metals|gems,farmstead,"adequate food, route access",27,0,555.09,6.514,871.6,2.07,glacial till,boreal forest,Suture metamorphic,False,moraine,shallow_well,windward,False,moderate,timber
H+28+00,boreal,none,modest,timber|stone|metals|gems,farmstead,"adequate food, route access",28,0,750.5,6.514,985.9,0.79,glacial till,boreal forest,Suture metamorphic,False,moraine,shallow_well,windward,False,moderate,timber
H+29+00,salt_pan,salt_pan,poor,salt_pans|evaporite_host,none,no reliable fresh water; poor food,29,0,588.76,6.16,405.0,1.78,saline playa,salt flat sparse,Basin sediment,True,moraine,dry,leeward,True,strong,salt_pans
H+30+00,salt_pan,salt_pan,poor,salt_pans|evaporite_host,none,no reliable fresh water; poor food,30,0,588.76,0.0,424.4,1.69,saline playa,salt flat sparse,Basin sediment,True,moraine,dry,calm_interior,True,strong,salt_pans
H+31+00,salt_pan,salt_pan,poor,salt_pans|evaporite_host,none,no reliable fresh water; poor food,31,0,588.76,0.0,428.2,1.6,saline playa,salt flat sparse,Basin sediment,True,moraine,dry,calm_interior,True,strong,salt_pans
H+32+00,salt_pan,salt_pan,poor,salt_pans|evaporite_host,none,no reliable fresh water; poor food,32,0,588.76,0.0,434.1,1.51,saline playa,salt flat sparse,Basin sediment,True,moraine,dry,calm_interior,True,strong,salt_pans
H+33+00,salt_pan,salt_pan,poor,salt_pans|evaporite_host,none,no reliable fresh water; poor food,33,0,588.76,0.0,442.5,1.45,saline playa,salt flat sparse,Basin sediment,True,moraine,dry,calm_interior,True,strong,salt_pans
H+34+00,salt_pan,salt_pan,poor,salt_pans|evaporite_host,none,no reliable fresh water; poor food,34,0,588.76,0.0,450.2,1.45,saline playa,salt flat sparse,Basin sediment,True,moraine,dry,calm_interior,True,strong,salt_pans
H+35+00,salt_pan,salt_pan,poor,salt_pans|evaporite_host,none,no reliable fresh water; poor food,35,0,588.76,0.0,457.2,1.5,saline playa,salt flat sparse,Basin sediment,True,moraine,dry,calm_interior,True,strong,salt_pans
H+36+00,salt_pan,salt_pan,poor,salt_pans|evaporite_host,none,no reliable fresh water; poor food,36,0,588.76,0.0,460.2,1.57,saline playa,salt flat sparse,Basin sediment,True,moraine,dry,calm_interior,True,strong,salt_pans
H+37+00,salt_pan,salt_pan,poor,salt_pans|evaporite_host,none,no reliable fresh water; poor food,37,0,588.76,0.0,463.4,1.64,saline playa,salt flat sparse,Basin sediment,True,moraine,dry,calm_interior,True,strong,salt_pans
H+38+00,salt_pan,salt_pan,poor,salt_pans|evaporite_host,none,no reliable fresh water; poor food,38,0,588.76,3.308,466.9,1.68,saline playa,salt flat sparse,Basin sediment,True,moraine,dry,calm_interior,True,strong,salt_pans
H+39+00,boreal,none,modest,none,farmstead,"adequate food, route access",39,0,688.01,6.724,935.2,1.02,glacial till,boreal forest,Suture metamorphic,False,moraine,shallow_well,open_westerly,False,moderate,
H+40+00,boreal,none,modest,none,farmstead,"adequate food, route access",40,0,486.28,7.17,823.0,2.32,glacial till,boreal forest,Suture metamorphic,False,moraine,shallow_well,leeward,False,moderate,
H+41+00,boreal,none,modest,none,farmstead,"adequate food, route access",41,0,310.82,6.505,847.4,3.45,glacial till,boreal forest,Suture metamorphic,False,outwash,shallow_well,leeward,False,moderate,
H+42+00,boreal,river,modest,limestone_karst,village,"fresh water, adequate food, route access",42,0,183.75,5.025,795.6,5.27,loam,boreal forest,Suture metamorphic,False,none,spring_line,open_westerly,False,moderate,
H+43+00,boreal,river,modest,none,village,"fresh water, adequate food, route access",43,0,129.19,5.271,876.7,4.63,loam,boreal forest,Coastal sediment,False,rebound_coast,spring_line,open_westerly,False,moderate,
H+44+00,ocean,ocean,modest,fisheries,none,ocean,44,0,-28.95,5.809,912.0,6.47,none/ocean,none/ocean,Oceanic basalt,False,,dry,ocean_westerly,False,maritime,fisheries
H+45+00,ocean,ocean,modest,fisheries,none,ocean,45,0,-52.56,1.43,919.3,6.45,none/ocean,none/ocean,Oceanic basalt,False,,dry,ocean_westerly,False,maritime,fisheries
H+46+00,ocean,ocean,modest,fisheries,none,ocean,46,0,-81.21,1.351,913.0,6.4,none/ocean,none/ocean,Oceanic basalt,False,,dry,ocean_westerly,False,maritime,fisheries
H+47+00,ocean,ocean,modest,fisheries,none,ocean,47,0,-109.96,1.322,902.9,6.35,none/ocean,none/ocean,Oceanic basalt,False,,dry,ocean_westerly,False,maritime,fisheries
H+48+00,ocean,ocean,modest,fisheries,none,ocean,48,0,-128.26,1.292,887.2,6.31,none/ocean,none/ocean,Oceanic basalt,False,,dry,ocean_westerly,False,maritime,fisheries
H+49+00,ocean,ocean,modest,fisheries,none,ocean,49,0,-146.0,1.024,868.7,6.29,none/ocean,none/ocean,Oceanic basalt,False,,dry,ocean_westerly,False,maritime,fisheries
H+50+00,ocean,ocean,modest,fisheries,none,ocean,50,0,-154.81,3.664,865.6,6.31,none/ocean,none/ocean,Oceanic basalt,False,,dry,ocean_westerly,False,maritime,fisheries
H+51+00,ocean,ocean,modest,fisheries,none,ocean,51,0,-44.9,3.664,864.0,6.36,none/ocean,none/ocean,Oceanic basalt,False,,dry,ocean_westerly,False,maritime,fisheries
H+52+00,ocean,ocean,modest,fisheries,none,ocean,52,0,-60.0,0.7,868.7,6.41,none/ocean,none/ocean,Oceanic basalt,False,,dry,ocean_westerly,False,maritime,fisheries
H+53+00,ocean,ocean,modest,fisheries,none,ocean,53,0,-73.2,0.913,881.9,6.46,none/ocean,none/ocean,Oceanic basalt,False,,dry,ocean_westerly,False,maritime,fisheries
H+54+00,ocean,ocean,modest,fisheries,none,ocean,54,0,-76.94,0.785,889.1,6.5,none/ocean,none/ocean,Oceanic basalt,False,,dry,ocean_westerly,False,maritime,fisheries
H+55+00,ocean,ocean,modest,fisheries,none,ocean,55,0,-75.08,0.854,887.7,6.51,none/ocean,none/ocean,Oceanic basalt,False,,dry,ocean_westerly,False,maritime,fisheries
H+56+00,ocean,ocean,modest,fisheries,none,ocean,56,0,-100.69,1.392,877.5,6.52,none/ocean,none/ocean,Oceanic basalt,False,,dry,ocean_westerly,False,maritime,fisheries
H+57+00,ocean,ocean,modest,fisheries,none,ocean,57,0,-101.56,1.419,850.8,6.51,none/ocean,none/ocean,Oceanic basalt,False,,dry,ocean_westerly,False,maritime,fisheries
H+58+00,ocean,ocean,modest,fisheries,none,ocean,58,0,-102.12,1.602,819.3,6.5,none/ocean,none/ocean,Oceanic basalt,False,,dry,ocean_westerly,False,maritime,fisheries
H+59+00,ocean,ocean,modest,fisheries,none,ocean,59,0,-102.59,1.649,794.9,6.47,none/ocean,none/ocean,Oceanic basalt,False,,dry,ocean_westerly,False,maritime,fisheries
H+60+00,ocean,ocean,modest,fisheries,none,ocean,60,0,-103.47,1.678,776.3,6.42,none/ocean,none/ocean,Oceanic basalt,False,,dry,ocean_westerly,False,maritime,fisheries
H+61+00,ocean,ocean,modest,fisheries,none,ocean,61,0,-103.99,1.317,761.4,6.35,none/ocean,none/ocean,Oceanic basalt,False,,dry,ocean_westerly,False,maritime,fisheries
H+62+00,ocean,ocean,modest,fisheries,none,ocean,62,0,-104.44,1.415,746.4,6.24,none/ocean,none/ocean,Oceanic basalt,False,,dry,ocean_westerly,False,maritime,fisheries
H+63+00,ocean,ocean,modest,fisheries,none,ocean,63,0,-106.84,1.495,732.5,6.13,none/ocean,none/ocean,Oceanic basalt,False,,dry,ocean_westerly,False,maritime,fisheries
H+64+00,ocean,ocean,modest,fisheries,none,ocean,64,0,-106.32,1.448,723.5,6.03,none/ocean,none/ocean,Oceanic basalt,False,,dry,ocean_westerly,False,maritime,fisheries
H+65+00,ocean,ocean,modest,fisheries,none,ocean,65,0,-107.19,0.192,720.9,5.96,none/ocean,none/ocean,Oceanic basalt,False,,dry,ocean_westerly,False,maritime,fisheries
H+66+00,ocean,ocean,modest,fisheries,none,ocean,66,0,-109.35,0.238,726.8,5.93,none/ocean,none/ocean,Oceanic basalt,False,,dry,ocean_westerly,False,maritime,fisheries
H+67+00,ocean,ocean,modest,fisheries,none,ocean,67,0,-112.23,0.232,737.5,5.93,none/ocean,none/ocean,Oceanic basalt,False,,dry,ocean_westerly,False,maritime,fisheries
H+68+00,ocean,ocean,modest,fisheries,none,ocean,68,0,-118.37,0.34,742.6,5.94,none/ocean,none/ocean,Oceanic basalt,False,,dry,ocean_westerly,False,maritime,fisheries
H+69+00,ocean,ocean,modest,fisheries,none,ocean,69,0,-124.5,0.403,749.2,5.96,none/ocean,none/ocean,Oceanic basalt,False,,dry,ocean_westerly,False,maritime,fisheries
H+70+00,ocean,ocean,modest,fisheries,none,ocean,70,0,-127.72,0.302,752.9,5.99,none/ocean,none/ocean,Oceanic basalt,False,,dry,ocean_westerly,False,maritime,fisheries
H+71+00,ocean,ocean,modest,fisheries,none,ocean,71,0,-125.13,0.087,752.4,6.04,none/ocean,none/ocean,Oceanic basalt,False,,dry,ocean_westerly,False,maritime,fisheries
H+72+00,ocean,ocean,modest,fisheries,none,ocean,72,0,-122.89,0.075,750.8,6.11,none/ocean,none/ocean,Oceanic basalt,False,,dry,ocean_westerly,False,maritime,fisheries
H+73+00,ocean,ocean,modest,fisheries,none,ocean,73,0,-121.15,0.08,737.0,6.22,none/ocean,none/ocean,Oceanic basalt,False,,dry,ocean_westerly,False,maritime,fisheries
H+74+00,ocean,ocean,modest,fisheries,none,ocean,74,0,-118.76,0.157,714.3,6.34,none/ocean,none/ocean,Oceanic basalt,False,,dry,ocean_westerly,False,maritime,fisheries
H+75+00,ocean,ocean,modest,fisheries,none,ocean,75,0,-114.04,0.157,696.2,6.47,none/ocean,none/ocean,Oceanic basalt,False,,dry,ocean_westerly,False,maritime,fisheries
H+76+00,ocean,ocean,modest,fisheries,none,ocean,76,0,-111.43,0.128,674.4,6.56,none/ocean,none/ocean,Oceanic basalt,False,,dry,ocean_westerly,False,maritime,fisheries
H+77+00,ocean,ocean,modest,fisheries,none,ocean,77,0,-110.49,0.067,659.2,6.6,none/ocean,none/ocean,Oceanic basalt,False,,dry,ocean_westerly,False,maritime,fisheries
H+78+00,ocean,ocean,modest,fisheries,none,ocean,78,0,-110.35,0.014,652.6,6.61,none/ocean,none/ocean,Oceanic basalt,False,,dry,ocean_westerly,False,maritime,fisheries
H+79+00,ocean,ocean,modest,fisheries,none,ocean,79,0,-110.77,0.019,648.6,6.61,none/ocean,none/ocean,Oceanic basalt,False,,dry,ocean_westerly,False,maritime,fisheries
H+00+01,ocean,ocean,modest,fisheries,none,ocean,0,1,-242.11,0.142,904.9,6.29,none/ocean,none/ocean,Oceanic basalt,False,,dry,ocean_westerly,False,maritime,fisheries
H+01+01,ocean,ocean,modest,fisheries,none,ocean,1,1,-237.85,0.258,905.2,6.29,none/ocean,none/ocean,Oceanic basalt,False,,dry,ocean_westerly,False,maritime,fisheries
H+02+01,ocean,ocean,modest,fisheries,none,ocean,2,1,-231.01,0.242,907.2,6.29,none/ocean,none/ocean,Oceanic basalt,False,,dry,ocean_westerly,False,maritime,fisheries
H+03+01,ocean,ocean,modest,fisheries,none,ocean,3,1,-226.28,0.225,911.0,6.3,none/ocean,none/ocean,Oceanic basalt,False,,dry,ocean_westerly,False,maritime,fisheries
H+04+01,ocean,ocean,modest,fisheries,none,ocean,4,1,-227.21,0.165,919.9,6.29,none/ocean,none/ocean,Oceanic basalt,False,,dry,ocean_westerly,False,maritime,fisheries
H+05+01,ocean,ocean,modest,fisheries,none,ocean,5,1,-231.01,0.127,929.8,6.29,none/ocean,none/ocean,Oceanic basalt,False,,dry,ocean_westerly,False,maritime,fisheries
H+06+01,ocean,ocean,modest,fisheries,none,ocean,6,1,-233.88,0.149,925.7,6.27,none/ocean,none/ocean,Oceanic basalt,False,,dry,ocean_westerly,False,maritime,fisheries
H+07+01,ocean,ocean,modest,fisheries,none,ocean,7,1,-231.15,0.316,921.1,6.26,none/ocean,none/ocean,Oceanic basalt,False,,dry,ocean_westerly,False,maritime,fisheries
H+08+01,ocean,ocean,modest,fisheries,none,ocean,8,1,-227.36,4.539,923.1,6.25,none/ocean,none/ocean,Oceanic basalt,False,,dry,ocean_westerly,False,maritime,fisheries
H+09+01,ocean,ocean,modest,fisheries,none,ocean,9,1,-223.7,4.418,918.6,6.25,none/ocean,none/ocean,Oceanic basalt,False,,dry,ocean_westerly,False,maritime,fisheries
H+10+01,ocean,ocean,modest,fisheries,none,ocean,10,1,-222.14,0.323,908.7,6.27,none/ocean,none/ocean,Oceanic basalt,False,,dry,ocean_westerly,False,maritime,fisheries
H+11+01,ocean,ocean,modest,fisheries,none,ocean,11,1,-220.73,0.192,900.2,6.31,none/ocean,none/ocean,Oceanic basalt,False,,dry,ocean_westerly,False,maritime,fisheries
H+12+01,ocean,ocean,modest,fisheries,none,ocean,12,1,-218.21,0.156,890.9,6.37,none/ocean,none/ocean,Oceanic basalt,False,,dry,ocean_westerly,False,maritime,fisheries
H+13+01,ocean,ocean,modest,fisheries,none,ocean,13,1,-216.67,5.245,882.1,6.43,none/ocean,none/ocean,Oceanic basalt,False,,dry,ocean_westerly,False,maritime,fisheries
H+14+01,ocean,ocean,modest,fisheries,none,ocean,14,1,-59.33,5.321,860.0,6.49,none/ocean,none/ocean,Oceanic basalt,False,,dry,ocean_westerly,False,maritime,fisheries
H+15+01,ocean,ocean,modest,fisheries,none,ocean,15,1,-58.11,5.214,830.2,6.55,none/ocean,none/ocean,Oceanic basalt,False,,dry,ocean_westerly,False,maritime,fisheries
H+16+01,ocean,ocean,modest,fisheries,none,ocean,16,1,-42.36,4.628,806.4,6.61,none/ocean,none/ocean,Oceanic basalt,False,,dry,ocean_westerly,False,maritime,fisheries
H+17+01,boreal,none,modest,timber|clay,village,"fresh water, adequate food, route access",17,1,96.47,4.635,775.9,5.04,glacial till,boreal forest,Coastal sediment,False,rebound_coast,spring_line,open_westerly,False,moderate,timber
H+18+01,boreal,none,modest,timber|clay,village,"fresh water, adequate food, route access",18,1,102.49,4.835,769.6,5.07,glacial till,boreal forest,Coastal sediment,False,rebound_coast,shallow_well,open_westerly,False,moderate,timber
H+19+01,boreal,river,modest,timber|clay,town,"fresh water, adequate food, route access",19,1,116.86,0.693,764.6,5.04,loam,boreal forest,Coastal sediment,False,rebound_coast,spring_line,open_westerly,False,moderate,timber
H+20+01,boreal,river,modest,timber|clay,town,"fresh water, adequate food, route access",20,1,129.58,1.417,757.0,5.01,loam,boreal forest,Coastal sediment,False,rebound_coast,spring_line,open_westerly,False,moderate,timber
H+21+01,grassland,none,good,pasture|clay,village,"strong food, route access",21,1,172.08,1.58,696.3,5.76,loam,grassland/pasture,Coastal sediment,False,none,shallow_well,open_westerly,False,moderate,pasture
H+22+01,boreal,none,modest,timber|clay,farmstead,"adequate food, route access",22,1,219.47,1.58,746.0,4.48,glacial till,boreal forest,Coastal sediment,False,moraine,shallow_well,open_westerly,False,moderate,timber
H+23+01,boreal,none,modest,timber|clay,farmstead,"adequate food, route access",23,1,266.17,1.557,747.7,4.18,glacial till,boreal forest,Coastal sediment,False,moraine,shallow_well,open_westerly,False,moderate,timber
H+24+01,boreal,none,modest,timber|metals,farmstead,"adequate food, route access",24,1,271.39,0.174,757.4,4.15,glacial till,boreal forest,Suture metamorphic,False,moraine,shallow_well,open_westerly,False,moderate,timber
H+25+01,boreal,none,modest,timber|metals|gems,farmstead,"adequate food, route access",25,1,273.02,4.122,766.6,4.15,glacial till,boreal forest,Suture metamorphic,False,moraine,shallow_well,open_westerly,False,moderate,timber
H+26+01,boreal,none,modest,timber|metals|gems,farmstead,"adequate food, route access",26,1,396.67,5.799,774.7,3.34,glacial till,boreal forest,Suture metamorphic,False,moraine,shallow_well,open_westerly,False,moderate,timber
H+27+01,boreal,none,modest,timber|stone|metals|gems,farmstead,"adequate food, route access",27,1,570.65,6.763,869.3,2.21,glacial till,boreal forest,Suture metamorphic,False,moraine,shallow_well,windward,False,moderate,timber
H+28+01,boreal,none,modest,timber|stone|metals,farmstead,"adequate food, route access",28,1,773.55,6.763,1004.9,0.87,glacial till,boreal forest,Suture metamorphic,False,moraine,shallow_well,windward,False,moderate,timber
H+29+01,salt_pan,salt_pan,poor,salt_pans|evaporite_host,none,no reliable fresh water; poor food,29,1,588.76,6.16,408.9,2.02,saline playa,salt flat sparse,Basin sediment,True,moraine,dry,leeward,True,strong,salt_pans
H+30+01,salt_pan,salt_pan,poor,salt_pans|evaporite_host,none,no reliable fresh water; poor food,30,1,588.76,0.0,431.8,1.95,saline playa,salt flat sparse,Basin sediment,True,moraine,dry,calm_interior,True,strong,salt_pans
H+31+01,salt_pan,salt_pan,poor,salt_pans|evaporite_host,none,no reliable fresh water; poor food,31,1,588.76,0.0,435.0,1.87,saline playa,salt flat sparse,Basin sediment,True,moraine,dry,calm_interior,True,strong,salt_pans
H+32+01,salt_pan,salt_pan,poor,salt_pans|evaporite_host,none,no reliable fresh water; poor food,32,1,588.76,0.0,440.6,1.79,saline playa,salt flat sparse,Basin sediment,True,moraine,dry,calm_interior,True,strong,salt_pans
H+33+01,salt_pan,salt_pan,poor,salt_pans|evaporite_host,none,no reliable fresh water; poor food,33,1,588.76,0.0,449.0,1.73,saline playa,salt flat sparse,Basin sediment,True,moraine,dry,calm_interior,True,strong,salt_pans
H+34+01,salt_pan,salt_pan,poor,salt_pans|evaporite_host,none,no reliable fresh water; poor food,34,1,588.76,0.0,455.7,1.73,saline playa,salt flat sparse,Basin sediment,True,moraine,dry,calm_interior,True,strong,salt_pans
H+35+01,salt_pan,salt_pan,poor,salt_pans|evaporite_host,none,no reliable fresh water; poor food,35,1,588.76,0.0,459.7,1.76,saline playa,salt flat sparse,Basin sediment,True,moraine,dry,calm_interior,True,strong,salt_pans
H+36+01,salt_pan,salt_pan,poor,salt_pans|evaporite_host,none,no reliable fresh water; poor food,36,1,588.76,0.0,460.8,1.82,saline playa,salt flat sparse,Basin sediment,True,moraine,dry,calm_interior,True,strong,salt_pans
H+37+01,salt_pan,salt_pan,poor,salt_pans|evaporite_host,none,no reliable fresh water; poor food,37,1,588.76,0.0,464.7,1.88,saline playa,salt flat sparse,Basin sediment,True,moraine,dry,calm_interior,True,strong,salt_pans
H+38+01,salt_pan,salt_pan,poor,salt_pans|evaporite_host,none,no reliable fresh water; poor food,38,1,588.76,3.754,469.7,1.91,saline playa,salt flat sparse,Basin sediment,True,moraine,dry,calm_interior,True,strong,salt_pans
H+39+01,boreal,none,modest,limestone_karst,farmstead,"adequate food, route access",39,1,701.37,7.17,961.2,1.17,glacial till,boreal forest,Suture metamorphic,False,moraine,shallow_well,open_westerly,False,moderate,
H+40+01,boreal,none,modest,none,farmstead,"adequate food, route access",40,1,505.97,7.546,829.4,2.43,glacial till,boreal forest,Suture metamorphic,False,moraine,shallow_well,leeward,False,moderate,
H+41+01,boreal,none,modest,none,farmstead,"adequate food, route access",41,1,334.49,7.262,855.6,3.53,glacial till,boreal forest,Suture metamorphic,False,outwash,shallow_well,leeward,False,moderate,
H+42+01,boreal,none,modest,none,village,"fresh water, adequate food, route access",42,1,203.32,5.881,856.3,4.38,loam,boreal forest,Suture metamorphic,False,outwash,spring_line,open_westerly,False,moderate,
H+43+01,boreal,none,modest,none,village,"fresh water, adequate food, route access",43,1,145.31,5.809,866.6,4.75,loam,boreal forest,Coastal sediment,False,rebound_coast,spring_line,open_westerly,False,moderate,
H+44+01,ocean,ocean,modest,fisheries,none,ocean,44,1,-9.66,6.375,899.5,6.69,none/ocean,none/ocean,Oceanic basalt,False,,dry,ocean_westerly,False,maritime,fisheries
H+45+01,ocean,ocean,modest,fisheries,none,ocean,45,1,-40.68,2.2,905.4,6.67,none/ocean,none/ocean,Oceanic basalt,False,,dry,ocean_westerly,False,maritime,fisheries
H+46+01,ocean,ocean,modest,fisheries,none,ocean,46,1,-70.29,2.072,902.6,6.64,none/ocean,none/ocean,Oceanic basalt,False,,dry,ocean_westerly,False,maritime,fisheries
H+47+01,ocean,ocean,modest,fisheries,none,ocean,47,1,-89.5,1.833,896.9,6.6,none/ocean,none/ocean,Oceanic basalt,False,,dry,ocean_westerly,False,maritime,fisheries
H+48+01,ocean,ocean,modest,fisheries,none,ocean,48,1,-115.28,2.131,880.2,6.56,none/ocean,none/ocean,Oceanic basalt,False,,dry,ocean_westerly,False,maritime,fisheries
H+49+01,ocean,ocean,modest,fisheries,none,ocean,49,1,-136.76,2.144,859.2,6.55,none/ocean,none/ocean,Oceanic basalt,False,,dry,ocean_westerly,False,maritime,fisheries
H+50+01,ocean,ocean,modest,fisheries,none,ocean,50,1,-148.75,3.658,858.1,6.57,none/ocean,none/ocean,Oceanic basalt,False,,dry,ocean_westerly,False,maritime,fisheries
H+51+01,ocean,ocean,modest,fisheries,none,ocean,51,1,-39.0,3.658,869.6,6.61,none/ocean,none/ocean,Oceanic basalt,False,,dry,ocean_westerly,False,maritime,fisheries
H+52+01,ocean,ocean,modest,fisheries,none,ocean,52,1,-45.8,2.748,880.2,6.66,none/ocean,none/ocean,Oceanic basalt,False,,dry,ocean_westerly,False,maritime,fisheries
H+53+01,ocean,ocean,modest,fisheries,none,ocean,53,1,-53.38,1.718,890.0,6.71,none/ocean,none/ocean,Oceanic basalt,False,,dry,ocean_westerly,False,maritime,fisheries
H+54+01,ocean,ocean,modest,fisheries,none,ocean,54,1,-56.99,1.68,894.4,6.75,none/ocean,none/ocean,Oceanic basalt,False,,dry,ocean_westerly,False,maritime,fisheries
H+55+01,ocean,ocean,modest,fisheries,none,ocean,55,1,-58.94,1.611,887.2,6.76,none/ocean,none/ocean,Oceanic basalt,False,,dry,ocean_westerly,False,maritime,fisheries
H+56+01,ocean,ocean,modest,fisheries,none,ocean,56,1,-64.45,1.64,869.5,6.76,none/ocean,none/ocean,Oceanic basalt,False,,dry,ocean_westerly,False,maritime,fisheries
H+57+01,ocean,ocean,modest,fisheries,none,ocean,57,1,-58.98,1.878,844.9,6.75,none/ocean,none/ocean,Oceanic basalt,False,,dry,ocean_westerly,False,maritime,fisheries
H+58+01,ocean,ocean,modest,fisheries,none,ocean,58,1,-54.06,1.967,820.2,6.73,none/ocean,none/ocean,Oceanic basalt,False,,dry,ocean_westerly,False,maritime,fisheries
